I,ID,STATUS,AREA,ZONE,PL,QL,IP,IQ,YP,YQ,OWNER,SCALE
140538,1 ,1,31,46,2.741,0.733,0.0,0.0,0.0,0.0,1,1
140585,1 ,1,11,14,0.56,0.023,0.0,0.0,0.0,0.0,1,1
140636,1 ,1,35,42,20.0,2.85,0.0,0.0,0.0,0.0,1,1
140650,1 ,1,39,62,2.0,1.0,0.0,0.0,0.0,0.0,1,1
140729,1 ,1,12,15,9.3,0.0,0.0,0.0,0.0,0.0,1,1
140737,1 ,1,31,51,26.896,4.9559999999999995,0.0,0.0,0.0,0.0,1,1
140796,1 ,1,19,32,7.152,-1.688,0.0,0.0,0.0,0.0,1,1
140930,1 ,1,32,40,16.55,-0.95,0.0,0.0,0.0,0.0,1,1
141085,1 ,1,32,40,23.309,-0.706,0.0,0.0,0.0,0.0,1,1
141176,1 ,1,18,21,2.0,-3.0,0.0,0.0,0.0,0.0,1,1
141238,1 ,1,18,21,1.2000000000000002,0.0,0.0,0.0,0.0,0.0,1,1
141286,1 ,1,32,40,10.0,4.0,0.0,0.0,0.0,0.0,1,1
141332,1 ,1,40,68,2.74,0.3,0.0,0.0,0.0,0.0,1,1
141464,1 ,1,11,14,0.493,0.011,0.0,0.0,0.0,0.0,1,1
141471,1 ,1,15,20,21.472,-0.567,0.0,0.0,0.0,0.0,1,1
141517,1 ,1,13,16,20.0,-1.0,0.0,0.0,0.0,0.0,1,1
141537,1 ,1,49,88,46.0,7.2,0.0,0.0,0.0,0.0,1,1
141641,1 ,1,41,69,1.0,1.0,0.0,0.0,0.0,0.0,1,1
141715,1 ,1,40,68,10.09,2.078,0.0,0.0,0.0,0.0,1,1
141860,1 ,1,19,32,5.428,-1.308,0.0,0.0,0.0,0.0,1,1
141896,1 ,1,15,20,0.528,0.174,0.0,0.0,0.0,0.0,1,1
141925,1 ,1,11,14,1.916,0.491,0.0,0.0,0.0,0.0,1,1
142100,1 ,1,40,68,11.0,0.45,0.0,0.0,0.0,0.0,1,1
142108,1 ,1,16,31,6.905,1.378,0.0,0.0,0.0,0.0,1,1
142154,1 ,1,18,21,7.0,-1.7999999999999998,0.0,0.0,0.0,0.0,1,1
142171,1 ,1,31,50,0.1,-0.43,0.0,0.0,0.0,0.0,1,1
142198,1 ,1,11,14,3.725,0.075,0.0,0.0,0.0,0.0,1,1
142517,1 ,1,31,46,2.512,0.826,0.0,0.0,0.0,0.0,1,1
142531,1 ,1,32,40,16.255,0.0,0.0,0.0,0.0,0.0,1,1
