I,ID,STATUS,AREA,ZONE,PL,QL,IP,IQ,YP,YQ,OWNER,SCALE
7,1 ,1,31,46,18.348,3.612,0.0,0.0,0.0,0.0,1,1
21,1 ,1,49,88,47.0,-3.0,0.0,0.0,0.0,0.0,1,1
69,1 ,1,31,46,39.306000000000004,12.724,0.0,0.0,0.0,0.0,1,1
95,1 ,1,13,17,26.62,0.97,0.0,0.0,0.0,0.0,1,1
111,1 ,1,40,68,4.5,1.4,0.0,0.0,0.0,0.0,1,1
128,1 ,1,19,32,4.783,-1.171,0.0,0.0,0.0,0.0,1,1
134,1 ,1,40,68,3.55,1.0,0.0,0.0,0.0,0.0,1,1
180,1 ,1,49,88,0.2,0.0,0.0,0.0,0.0,0.0,1,1
199,1 ,1,11,14,29.885,9.049,0.0,0.0,0.0,0.0,1,1
208,1 ,1,16,31,74.605,5.992,0.0,0.0,0.0,0.0,1,1
211,1 ,1,15,20,2.934,0.964,0.0,0.0,0.0,0.0,1,1
228,1 ,1,39,62,23.5,7.603,0.0,0.0,0.0,0.0,1,1
240,1 ,1,39,62,0.2,0.1,0.0,0.0,0.0,0.0,1,1
261,1 ,1,39,62,14.2,3.971,0.0,0.0,0.0,0.0,1,1
270,1 ,1,19,32,4.138,-0.907,0.0,0.0,0.0,0.0,1,1
278,1 ,1,32,40,13.6,0.3,0.0,0.0,0.0,0.0,1,1
282,1 ,1,11,14,15.632,1.841,0.0,0.0,0.0,0.0,1,1
314,1 ,1,18,21,6.1,-0.7,0.0,0.0,0.0,0.0,1,1
318,1 ,1,39,62,4.647,1.39,0.0,0.0,0.0,0.0,1,1
335,1 ,1,11,14,9.471,0.577,0.0,0.0,0.0,0.0,1,1
356,1 ,1,31,48,5.8,1.3,0.0,0.0,0.0,0.0,1,1
367,1 ,1,31,46,1.669,-0.033,0.0,0.0,0.0,0.0,1,1
380,1 ,1,11,14,0.194,0.008,0.0,0.0,0.0,0.0,1,1
413,1 ,1,39,62,57.480000000000004,19.740000000000002,0.0,0.0,0.0,0.0,1,1
422,1 ,1,40,68,32.79,3.0,0.0,0.0,0.0,0.0,1,1
431,1 ,1,16,31,0.001,0.001,0.0,0.0,0.0,0.0,1,1
437,1 ,1,11,14,4.451,1.141,0.0,0.0,0.0,0.0,1,1
447,1 ,1,40,68,3.37,0.5,0.0,0.0,0.0,0.0,1,1
483,1 ,1,11,14,0.106,0.004,0.0,0.0,0.0,0.0,1,1
491,1 ,1,36,79,9.38,0.855,0.0,0.0,0.0,0.0,1,1
532,1 ,1,27,33,20.0,2.0,0.0,0.0,0.0,0.0,1,1
538,1 ,1,40,68,2.0,0.6,0.0,0.0,0.0,0.0,1,1
569,1 ,1,42,70,14.07,-2.5119999999999996,0.0,0.0,0.0,0.0,1,1
570,1 ,1,26,36,5.0,1.0,0.0,0.0,0.0,0.0,1,1
574,1 ,1,16,31,0.001,0.001,0.0,0.0,0.0,0.0,1,1
584,1 ,1,36,79,10.322,4.015,0.0,0.0,0.0,0.0,1,1
586,1 ,1,35,42,10.0,1.425,0.0,0.0,0.0,0.0,1,1
587,1 ,1,32,40,16.567,0.7,0.0,0.0,0.0,0.0,1,1
597,1 ,1,16,31,29.341,0.002,0.0,0.0,0.0,0.0,1,1
630,1 ,1,19,32,8.663,-2.753,0.0,0.0,0.0,0.0,1,1
654,1 ,1,36,63,16.017,1.7,0.0,0.0,0.0,0.0,1,1
666,1 ,1,35,42,20.0,2.85,0.0,0.0,0.0,0.0,1,1
668,1 ,1,12,15,15.8,1.4,0.0,0.0,0.0,0.0,1,1
672,1 ,1,36,79,1.0,0.2,0.0,0.0,0.0,0.0,1,1
673,1 ,1,16,31,0.001,0.001,0.0,0.0,0.0,0.0,1,1
688,1 ,1,27,33,17.4,14.5,0.0,0.0,0.0,0.0,1,1
690,1 ,1,42,70,5.901,3.428,0.0,0.0,0.0,0.0,1,1
726,1 ,1,35,42,30.0,4.275,0.0,0.0,0.0,0.0,1,1
755,1 ,1,43,72,4.0,-1.0,0.0,0.0,0.0,0.0,1,1
760,1 ,1,19,32,2.684,-1.811,0.0,0.0,0.0,0.0,1,1
775,1 ,1,41,69,2.603,1.0,0.0,0.0,0.0,0.0,1,1
778,1 ,1,32,40,15.3,-0.7,0.0,0.0,0.0,0.0,1,1
783,1 ,1,36,63,4.502,0.554,0.0,0.0,0.0,0.0,1,1
788,1 ,1,16,31,121.8,26.799999999999997,0.0,0.0,0.0,0.0,1,1
809,1 ,1,18,21,6.9,0.19999999999999998,0.0,0.0,0.0,0.0,1,1
822,1 ,1,13,12,20.336000000000002,-3.1660000000000004,0.0,0.0,0.0,0.0,1,1
829,1 ,1,33,41,73.4,5.300000000000001,0.0,0.0,0.0,0.0,1,1
830,1 ,1,31,46,13.605,3.324,0.0,0.0,0.0,0.0,1,1
838,1 ,1,40,68,2.0,0.3,0.0,0.0,0.0,0.0,1,1
843,1 ,1,27,33,18.19,3.69,0.0,0.0,0.0,0.0,1,1
855,1 ,1,9,10,12.3,4.042,0.0,0.0,0.0,0.0,1,1
876,1 ,1,33,41,38.14,3.47,0.0,0.0,0.0,0.0,1,1
886,1 ,1,31,46,6.54,3.833,0.0,0.0,0.0,0.0,1,1
903,1 ,1,35,42,20.0,2.85,0.0,0.0,0.0,0.0,1,1
934,1 ,1,27,33,41.8,8.592,0.0,0.0,0.0,0.0,1,1
954,1 ,1,42,70,5.4,-1.12,0.0,0.0,0.0,0.0,1,1
956,1 ,1,35,42,40.0,5.7,0.0,0.0,0.0,0.0,1,1
963,1 ,1,35,42,10.0,1.425,0.0,0.0,0.0,0.0,1,1
965,1 ,1,19,32,9.9,4.442,0.0,0.0,0.0,0.0,1,1
978,1 ,1,15,20,6.233,0.818,0.0,0.0,0.0,0.0,1,1
988,1 ,1,11,14,4.6,0.092,0.0,0.0,0.0,0.0,1,1
992,1 ,1,31,56,4.2,0.9,0.0,0.0,0.0,0.0,1,1
1018,1 ,1,49,88,5.0,0.0,0.0,0.0,0.0,0.0,1,1
1030,1 ,1,41,69,4.324,0.0,0.0,0.0,0.0,0.0,1,1
1044,1 ,1,31,46,3.358,1.104,0.0,0.0,0.0,0.0,1,1
1066,1 ,1,36,79,6.114,1.159,0.0,0.0,0.0,0.0,1,1
1074,1 ,1,12,15,7.7,2.3,0.0,0.0,0.0,0.0,1,1
1078,1 ,1,19,32,0.5,0.5,0.0,0.0,0.0,0.0,1,1
1081,1 ,1,16,31,0.001,0.001,0.0,0.0,0.0,0.0,1,1
1091,1 ,1,40,68,8.1,1.59,0.0,0.0,0.0,0.0,1,1
1122,1 ,1,35,42,20.0,2.85,0.0,0.0,0.0,0.0,1,1
1127,1 ,1,36,79,7.753,0.3700000000000001,0.0,0.0,0.0,0.0,1,1
1129,1 ,1,31,56,20.9,2.1,0.0,0.0,0.0,0.0,1,1
1131,1 ,1,31,46,0.1,0.1,0.0,0.0,0.0,0.0,1,1
1141,1 ,1,11,14,0.341,0.0,0.0,0.0,0.0,0.0,1,1
1153,1 ,1,31,50,3.187,0.285,0.0,0.0,0.0,0.0,1,1
1169,1 ,1,33,41,26.6,3.5,0.0,0.0,0.0,0.0,1,1
1173,1 ,1,31,46,0.596,0.192,0.0,0.0,0.0,0.0,1,1
1192,1 ,1,16,31,0.081,0.04,0.0,0.0,0.0,0.0,1,1
1206,1 ,1,15,20,4.115,1.308,0.0,0.0,0.0,0.0,1,1
1225,1 ,1,39,62,7.9,0.4,0.0,0.0,0.0,0.0,1,1
1227,1 ,1,39,62,30.779999999999998,8.25,0.0,0.0,0.0,0.0,1,1
1228,1 ,1,16,31,36.815,8.978,0.0,0.0,0.0,0.0,1,1
1239,1 ,1,18,21,4.4,0.8,0.0,0.0,0.0,0.0,1,1
1264,1 ,1,33,41,16.62,2.91,0.0,0.0,0.0,0.0,1,1
1265,1 ,1,31,46,1.187,0.222,0.0,0.0,0.0,0.0,1,1
1272,1 ,1,39,62,6.195,0.923,0.0,0.0,0.0,0.0,1,1
1276,1 ,1,33,41,12.84,1.73,0.0,0.0,0.0,0.0,1,1
1279,1 ,1,33,41,33.8,7.19,0.0,0.0,0.0,0.0,1,1
1294,1 ,1,33,41,24.4,4.15,0.0,0.0,0.0,0.0,1,1
1319,1 ,1,16,31,43.828,-0.826,0.0,0.0,0.0,0.0,1,1
1324,1 ,1,32,40,18.737,0.938,0.0,0.0,0.0,0.0,1,1
1339,1 ,1,31,46,0.501,0.167,0.0,0.0,0.0,0.0,1,1
1349,1 ,1,32,40,17.617,0.4,0.0,0.0,0.0,0.0,1,1
1388,1 ,1,35,42,30.0,4.275,0.0,0.0,0.0,0.0,1,1
1405,1 ,1,11,14,0.43,0.412,0.0,0.0,0.0,0.0,1,1
1408,1 ,1,16,31,176.706,17.811,0.0,0.0,0.0,0.0,1,1
1438,1 ,1,11,14,0.28,0.038,0.0,0.0,0.0,0.0,1,1
1476,1 ,1,31,46,0.24,0.049,0.0,0.0,0.0,0.0,1,1
1477,1 ,1,11,14,0.184,0.025,0.0,0.0,0.0,0.0,1,1
1480,1 ,1,32,40,17.233,0.229,0.0,0.0,0.0,0.0,1,1
1510,1 ,1,16,31,0.001,0.001,0.0,0.0,0.0,0.0,1,1
1522,1 ,1,19,32,7.8,2.2,0.0,0.0,0.0,0.0,1,1
1564,1 ,1,32,40,22.975,-0.359,0.0,0.0,0.0,0.0,1,1
1583,1 ,1,16,31,13.828,0.782,0.0,0.0,0.0,0.0,1,1
1613,1 ,1,39,62,23.8,3.966,0.0,0.0,0.0,0.0,1,1
1618,1 ,1,9,10,6.0,1.0,0.0,0.0,0.0,0.0,1,1
1632,1 ,1,18,21,6.0,-1.6999999999999997,0.0,0.0,0.0,0.0,1,1
1635,1 ,1,33,41,13.0,2.64,0.0,0.0,0.0,0.0,1,1
1641,1 ,1,39,62,10.1,3.3,0.0,0.0,0.0,0.0,1,1
1644,1 ,1,18,21,1.8,-0.1,0.0,0.0,0.0,0.0,1,1
1660,1 ,1,19,32,5.113,-1.951,0.0,0.0,0.0,0.0,1,1
1668,1 ,1,31,49,0.878,1.559,0.0,0.0,0.0,0.0,1,1
1674,1 ,1,31,48,11.972,2.366,0.0,0.0,0.0,0.0,1,1
1684,1 ,1,31,51,24.584,7.955,0.0,0.0,0.0,0.0,1,1
1714,1 ,1,31,46,64.663,16.119,0.0,0.0,0.0,0.0,1,1
1733,1 ,1,33,41,16.52,1.05,0.0,0.0,0.0,0.0,1,1
1741,1 ,1,33,41,40.5,9.099,0.0,0.0,0.0,0.0,1,1
1761,1 ,1,13,16,50.0,10.17,0.0,0.0,0.0,0.0,1,1
1792,1 ,1,32,40,8.73,0.405,0.0,0.0,0.0,0.0,1,1
1797,1 ,1,35,42,20.0,2.85,0.0,0.0,0.0,0.0,1,1
1798,1 ,1,11,14,4.819,1.1669999999999998,0.0,0.0,0.0,0.0,1,1
1804,1 ,1,39,62,7.0,1.0,0.0,0.0,0.0,0.0,1,1
1812,1 ,1,43,72,9.47,0.84,0.0,0.0,0.0,0.0,1,1
1814,1 ,1,31,46,4.2,1.32,0.0,0.0,0.0,0.0,1,1
1824,1 ,1,39,62,24.9,4.98,0.0,0.0,0.0,0.0,1,1
1864,1 ,1,32,40,14.375,-1.784,0.0,0.0,0.0,0.0,1,1
1872,1 ,1,36,63,25.769,-0.04300000000000004,0.0,0.0,0.0,0.0,1,1
1894,1 ,1,16,31,2.386,1.153,0.0,0.0,0.0,0.0,1,1
1919,1 ,1,14,19,0.1,0.0,0.0,0.0,0.0,0.0,1,1
1926,1 ,1,18,21,4.800000000000001,3.3000000000000003,0.0,0.0,0.0,0.0,1,1
1940,1 ,1,13,17,17.1,4.116,0.0,0.0,0.0,0.0,1,1
1941,1 ,1,33,41,9.63,-1.8,0.0,0.0,0.0,0.0,1,1
1944,1 ,1,31,46,3.328,1.094,0.0,0.0,0.0,0.0,1,1
1976,1 ,1,13,12,84.432,21.013,0.0,0.0,0.0,0.0,1,1
1996,1 ,1,39,62,15.72,5.17,0.0,0.0,0.0,0.0,1,1
1997,1 ,1,36,63,19.088,-0.936,0.0,0.0,0.0,0.0,1,1
2013,1 ,1,32,40,17.059,-0.228,0.0,0.0,0.0,0.0,1,1
2018,1 ,1,31,46,2.754,-4.1850000000000005,0.0,0.0,0.0,0.0,1,1
2037,1 ,1,16,31,0.001,0.001,0.0,0.0,0.0,0.0,1,1
2059,1 ,1,1,2,17.31,5.69,0.0,0.0,0.0,0.0,1,1
2069,1 ,1,31,50,26.293,11.714,0.0,0.0,0.0,0.0,1,1
2085,1 ,1,31,56,34.36,2.88,0.0,0.0,0.0,0.0,1,1
2110,1 ,1,45,76,3.312,0.421,0.0,0.0,0.0,0.0,1,1
2142,1 ,1,31,46,20.502,1.792,0.0,0.0,0.0,0.0,1,1
2160,1 ,1,18,21,0.8,-3.9,0.0,0.0,0.0,0.0,1,1
2218,1 ,1,43,71,0.5,0.1,0.0,0.0,0.0,0.0,1,1
2230,1 ,1,31,46,9.529,3.019,0.0,0.0,0.0,0.0,1,1
2240,1 ,1,11,14,0.505,0.141,0.0,0.0,0.0,0.0,1,1
2255,1 ,1,36,79,4.405,-1.0,0.0,0.0,0.0,0.0,1,1
2259,1 ,1,36,63,6.955,3.812,0.0,0.0,0.0,0.0,1,1
2262,1 ,1,39,62,46.45,19.91,0.0,0.0,0.0,0.0,1,1
2285,1 ,1,42,70,18.277,0.7000000000000001,0.0,0.0,0.0,0.0,1,1
2296,1 ,1,31,46,1.04,0.217,0.0,0.0,0.0,0.0,1,1
2301,1 ,1,32,40,23.7,-0.1,0.0,0.0,0.0,0.0,1,1
2310,1 ,1,31,53,3.611,2.732,0.0,0.0,0.0,0.0,1,1
2330,1 ,1,19,32,6.027,-2.183,0.0,0.0,0.0,0.0,1,1
2364,1 ,1,16,31,0.001,0.001,0.0,0.0,0.0,0.0,1,1
2369,1 ,1,36,79,1.0,0.2,0.0,0.0,0.0,0.0,1,1
2378,1 ,1,27,33,2.48,1.26,0.0,0.0,0.0,0.0,1,1
2379,1 ,1,34,39,29.781,11.337,0.0,0.0,0.0,0.0,1,1
2389,1 ,1,31,46,12.372,3.5759999999999996,0.0,0.0,0.0,0.0,1,1
2411,1 ,1,40,68,11.31,2.23,0.0,0.0,0.0,0.0,1,1
2414,1 ,1,32,40,13.0,0.0,0.0,0.0,0.0,0.0,1,1
2422,1 ,1,32,40,5.255,-0.06,0.0,0.0,0.0,0.0,1,1
2448,1 ,1,40,67,15.0,6.0,0.0,0.0,0.0,0.0,1,1
2451,1 ,1,31,56,19.99,0.28,0.0,0.0,0.0,0.0,1,1
2465,1 ,1,19,32,8.321,-2.278,0.0,0.0,0.0,0.0,1,1
2466,1 ,1,35,42,10.0,1.425,0.0,0.0,0.0,0.0,1,1
2490,1 ,1,36,79,5.734,-0.17499999999999993,0.0,0.0,0.0,0.0,1,1
2492,1 ,1,31,46,0.1,0.1,0.0,0.0,0.0,0.0,1,1
2495,1 ,1,16,31,86.19200000000001,12.944999999999999,0.0,0.0,0.0,0.0,1,1
2532,1 ,1,33,41,33.62,3.86,0.0,0.0,0.0,0.0,1,1
2538,1 ,1,18,21,1.4,0.8,0.0,0.0,0.0,0.0,1,1
2540,1 ,1,36,79,2.572,-1.446,0.0,0.0,0.0,0.0,1,1
2571,1 ,1,18,21,26.3,7.300000000000001,0.0,0.0,0.0,0.0,1,1
2580,1 ,1,31,46,1.458,0.617,0.0,0.0,0.0,0.0,1,1
2586,1 ,1,11,14,13.370000000000001,0.6,0.0,0.0,0.0,0.0,1,1
2609,1 ,1,11,14,2.776,0.227,0.0,0.0,0.0,0.0,1,1
2612,1 ,1,18,21,39.4,0.9999999999999999,0.0,0.0,0.0,0.0,1,1
2621,1 ,1,15,20,11.325,1.853,0.0,0.0,0.0,0.0,1,1
2633,1 ,1,35,42,30.0,4.275,0.0,0.0,0.0,0.0,1,1
2648,1 ,1,36,63,15.173,-3.75,0.0,0.0,0.0,0.0,1,1
2653,1 ,1,18,21,6.300000000000001,2.4,0.0,0.0,0.0,0.0,1,1
2663,1 ,1,19,32,3.7,1.7000000000000002,0.0,0.0,0.0,0.0,1,1
2666,1 ,1,16,31,0.597,-0.537,0.0,0.0,0.0,0.0,1,1
2672,1 ,1,40,68,13.88,3.0,0.0,0.0,0.0,0.0,1,1
2688,1 ,1,15,20,9.589,2.4,0.0,0.0,0.0,0.0,1,1
2698,1 ,1,31,58,120.0,20.0,0.0,0.0,0.0,0.0,1,1
2756,1 ,1,11,14,12.908,0.521,0.0,0.0,0.0,0.0,1,1
2776,1 ,1,36,63,4.535,1.834,0.0,0.0,0.0,0.0,1,1
2784,1 ,1,32,40,14.1,-2.992,0.0,0.0,0.0,0.0,1,1
2789,1 ,1,15,20,21.11,0.018000000000000016,0.0,0.0,0.0,0.0,1,1
2805,1 ,1,33,41,0.964,-5.452,0.0,0.0,0.0,0.0,1,1
2861,1 ,1,11,14,37.007999999999996,6.179,0.0,0.0,0.0,0.0,1,1
2874,1 ,1,43,72,30.2,17.0,0.0,0.0,0.0,0.0,1,1
2882,1 ,1,1,2,25.712,0.0,0.0,0.0,0.0,0.0,1,1
2888,1 ,1,40,68,8.92,0.9,0.0,0.0,0.0,0.0,1,1
2894,1 ,1,11,14,0.23,0.009,0.0,0.0,0.0,0.0,1,1
2907,1 ,1,16,31,20.974,1.025,0.0,0.0,0.0,0.0,1,1
2908,1 ,1,40,68,4.167,1.227,0.0,0.0,0.0,0.0,1,1
2913,1 ,1,29,38,44.055,9.68,0.0,0.0,0.0,0.0,1,1
2944,1 ,1,49,88,6751.1939999999995,0.517,0.0,0.0,0.0,0.0,1,1
2946,1 ,1,36,79,1.0,0.2,0.0,0.0,0.0,0.0,1,1
2958,1 ,1,14,19,10.1,-1.1,0.0,0.0,0.0,0.0,1,1
2969,1 ,1,11,14,0.383,0.016,0.0,0.0,0.0,0.0,1,1
2992,1 ,1,31,46,27.516,17.122,0.0,0.0,0.0,0.0,1,1
2995,1 ,1,15,20,3.169,-1.439,0.0,0.0,0.0,0.0,1,1
3030,1 ,1,31,46,7.736,2.151,0.0,0.0,0.0,0.0,1,1
3044,1 ,1,39,62,4.9,0.98,0.0,0.0,0.0,0.0,1,1
3046,1 ,1,16,31,5.271,0.488,0.0,0.0,0.0,0.0,1,1
3051,1 ,1,40,68,13.12,1.1,0.0,0.0,0.0,0.0,1,1
3100,1 ,1,35,42,50.0,7.125,0.0,0.0,0.0,0.0,1,1
3109,1 ,1,19,32,11.5,0.4,0.0,0.0,0.0,0.0,1,1
3159,1 ,1,31,56,26.2,3.6,0.0,0.0,0.0,0.0,1,1
3181,1 ,1,18,21,1.9,1.0,0.0,0.0,0.0,0.0,1,1
3184,1 ,1,36,79,6.995,1.8760000000000001,0.0,0.0,0.0,0.0,1,1
3218,1 ,1,35,42,10.0,1.425,0.0,0.0,0.0,0.0,1,1
3233,1 ,1,19,32,11.5,0.4,0.0,0.0,0.0,0.0,1,1
3248,1 ,1,43,71,15.0,2.0,0.0,0.0,0.0,0.0,1,1
3272,1 ,1,11,14,9.072000000000001,1.317,0.0,0.0,0.0,0.0,1,1
3299,1 ,1,35,42,10.0,1.425,0.0,0.0,0.0,0.0,1,1
3304,1 ,1,11,14,7.597,1.226,0.0,0.0,0.0,0.0,1,1
3317,1 ,1,39,62,3.165,1.025,0.0,0.0,0.0,0.0,1,1
3373,1 ,1,18,21,2.7,-1.5,0.0,0.0,0.0,0.0,1,1
3381,1 ,1,31,46,0.1,0.1,0.0,0.0,0.0,0.0,1,1
3390,1 ,1,18,21,6.9,-0.8999999999999997,0.0,0.0,0.0,0.0,1,1
3397,1 ,1,14,19,9.2,-1.9,0.0,0.0,0.0,0.0,1,1
3398,1 ,1,31,56,11.54,1.15,0.0,0.0,0.0,0.0,1,1
3404,1 ,1,36,79,21.836000000000002,-0.3810000000000001,0.0,0.0,0.0,0.0,1,1
3472,1 ,1,40,68,8.0,1.0,0.0,0.0,0.0,0.0,1,1
3475,1 ,1,40,68,6.15,0.8,0.0,0.0,0.0,0.0,1,1
3477,1 ,1,49,88,73.0,-2.8,0.0,0.0,0.0,0.0,1,1
3497,1 ,1,43,71,15.0,1.0,0.0,0.0,0.0,0.0,1,1
3514,1 ,1,16,31,37.805,0.001,0.0,0.0,0.0,0.0,1,1
3532,1 ,1,39,62,46.68,9.08,0.0,0.0,0.0,0.0,1,1
3537,1 ,1,18,21,3.8,-1.0999999999999999,0.0,0.0,0.0,0.0,1,1
3601,1 ,1,39,62,9.03,2.97,0.0,0.0,0.0,0.0,1,1
3602,1 ,1,40,68,5.0,2.17,0.0,0.0,0.0,0.0,1,1
3607,1 ,1,31,48,23.239,4.075,0.0,0.0,0.0,0.0,1,1
3618,1 ,1,31,46,34.968,-8.356000000000002,0.0,0.0,0.0,0.0,1,1
3628,1 ,1,32,40,20.322,2.154,0.0,0.0,0.0,0.0,1,1
3649,1 ,1,13,17,10.9,3.0,0.0,0.0,0.0,0.0,1,1
3654,1 ,1,36,79,1.0,0.2,0.0,0.0,0.0,0.0,1,1
3661,1 ,1,35,42,20.0,2.85,0.0,0.0,0.0,0.0,1,1
3671,1 ,1,19,32,6.387,-2.865,0.0,0.0,0.0,0.0,1,1
3680,1 ,1,18,21,6.199999999999999,1.3,0.0,0.0,0.0,0.0,1,1
3692,1 ,1,15,20,6.423,2.084,0.0,0.0,0.0,0.0,1,1
3708,1 ,1,11,14,0.035,0.082,0.0,0.0,0.0,0.0,1,1
3710,1 ,1,49,88,0.1,0.0,0.0,0.0,0.0,0.0,1,1
3719,1 ,1,14,19,5.299999999999999,-0.4,0.0,0.0,0.0,0.0,1,1
3764,1 ,1,16,31,51.016,0.959,0.0,0.0,0.0,0.0,1,1
3784,1 ,1,27,33,18.5,6.866,0.0,0.0,0.0,0.0,1,1
3808,1 ,1,19,32,0.6,1.4,0.0,0.0,0.0,0.0,1,1
3828,1 ,1,18,21,1.9,-1.3,0.0,0.0,0.0,0.0,1,1
3858,1 ,1,41,69,9.201,1.0,0.0,0.0,0.0,0.0,1,1
3946,1 ,1,29,38,20.91,2.25,0.0,0.0,0.0,0.0,1,1
3962,1 ,1,13,16,15.0,-1.0,0.0,0.0,0.0,0.0,1,1
3984,1 ,1,42,70,5.041,-1.233,0.0,0.0,0.0,0.0,1,1
3985,1 ,1,15,20,9.254,0.758,0.0,0.0,0.0,0.0,1,1
3991,1 ,1,39,62,3.5,0.95,0.0,0.0,0.0,0.0,1,1
4005,1 ,1,36,63,20.36,-0.5380000000000003,0.0,0.0,0.0,0.0,1,1
4007,1 ,1,35,42,20.0,2.85,0.0,0.0,0.0,0.0,1,1
4021,1 ,1,31,46,2.065,0.35,0.0,0.0,0.0,0.0,1,1
4031,1 ,1,16,31,18.0,3.021,0.0,0.0,0.0,0.0,1,1
4045,1 ,1,14,19,10.700000000000001,0.7,0.0,0.0,0.0,0.0,1,1
4071,1 ,1,11,14,16.435,2.387,0.0,0.0,0.0,0.0,1,1
4104,1 ,1,29,38,42.15500000000001,14.645000000000003,0.0,0.0,0.0,0.0,1,1
4112,1 ,1,39,62,19.5,5.8,0.0,0.0,0.0,0.0,1,1
4120,1 ,1,36,63,26.68,2.009,0.0,0.0,0.0,0.0,1,1
4122,1 ,1,16,31,34.947,2.986,0.0,0.0,0.0,0.0,1,1
4124,1 ,1,40,68,12.0,3.0,0.0,0.0,0.0,0.0,1,1
4128,1 ,1,16,31,38.377,5.158,0.0,0.0,0.0,0.0,1,1
4154,1 ,1,32,40,17.25,0.0,0.0,0.0,0.0,0.0,1,1
4175,1 ,1,19,32,11.2,0.6,0.0,0.0,0.0,0.0,1,1
4176,1 ,1,39,62,21.86,-0.707,0.0,0.0,0.0,0.0,1,1
4188,1 ,1,49,88,1.1,1.0,0.0,0.0,0.0,0.0,1,1
4202,1 ,1,19,32,3.7,1.3,0.0,0.0,0.0,0.0,1,1
4212,1 ,1,40,67,3.34,0.5,0.0,0.0,0.0,0.0,1,1
4224,1 ,1,18,21,3.1999999999999997,0.6000000000000001,0.0,0.0,0.0,0.0,1,1
4228,1 ,1,19,32,5.383,-1.055,0.0,0.0,0.0,0.0,1,1
4247,1 ,1,32,40,3.55,2.8,0.0,0.0,0.0,0.0,1,1
4250,1 ,1,18,21,0.6000000000000002,1.0,0.0,0.0,0.0,0.0,1,1
4256,1 ,1,19,32,6.957,-1.487,0.0,0.0,0.0,0.0,1,1
4269,1 ,1,27,33,21.664,-6.2010000000000005,0.0,0.0,0.0,0.0,1,1
4270,1 ,1,29,38,33.399,0.8479999999999996,0.0,0.0,0.0,0.0,1,1
4272,1 ,1,31,46,1.359,0.447,0.0,0.0,0.0,0.0,1,1
4283,1 ,1,40,68,2.27,0.5,0.0,0.0,0.0,0.0,1,1
4293,1 ,1,13,17,31.8,1.7999999999999998,0.0,0.0,0.0,0.0,1,1
4378,1 ,1,18,21,1.3,-0.6,0.0,0.0,0.0,0.0,1,1
4418,1 ,1,33,41,7.91,-3.81,0.0,0.0,0.0,0.0,1,1
4422,1 ,1,31,46,0.501,0.167,0.0,0.0,0.0,0.0,1,1
4476,1 ,1,18,21,8.6,-2.5,0.0,0.0,0.0,0.0,1,1
4502,1 ,1,16,31,0.001,0.001,0.0,0.0,0.0,0.0,1,1
4549,1 ,1,11,14,0.816,0.033,0.0,0.0,0.0,0.0,1,1
4556,1 ,1,19,32,2.2,0.1,0.0,0.0,0.0,0.0,1,1
4594,1 ,1,11,14,0.55,0.034,0.0,0.0,0.0,0.0,1,1
4630,1 ,1,17,26,4.42,0.07,0.0,0.0,0.0,0.0,1,1
4652,1 ,1,34,39,14.125,4.642,0.0,0.0,0.0,0.0,1,1
4684,1 ,1,31,58,65.612,15.396,0.0,0.0,0.0,0.0,1,1
4712,1 ,1,31,46,0.286,0.094,0.0,0.0,0.0,0.0,1,1
4743,1 ,1,31,49,4.625,1.02,0.0,0.0,0.0,0.0,1,1
4756,1 ,1,35,42,10.0,1.425,0.0,0.0,0.0,0.0,1,1
4809,1 ,1,11,14,0.426,0.017,0.0,0.0,0.0,0.0,1,1
4817,1 ,1,16,31,0.002,0.002,0.0,0.0,0.0,0.0,1,1
4873,1 ,1,18,21,-3.1,0.2,0.0,0.0,0.0,0.0,1,1
4879,1 ,1,18,21,7.1,1.1,0.0,0.0,0.0,0.0,1,1
4893,1 ,1,31,50,9.092,-0.82,0.0,0.0,0.0,0.0,1,1
4963,1 ,1,32,40,13.633,-1.55,0.0,0.0,0.0,0.0,1,1
4964,1 ,1,36,63,1.0,0.2,0.0,0.0,0.0,0.0,1,1
4986,1 ,1,32,40,8.0,-0.8,0.0,0.0,0.0,0.0,1,1
5034,1 ,1,31,56,17.68,0.08,0.0,0.0,0.0,0.0,1,1
5055,1 ,1,18,21,8.399999999999999,-0.7999999999999998,0.0,0.0,0.0,0.0,1,1
5085,1 ,1,35,42,20.0,2.85,0.0,0.0,0.0,0.0,1,1
5105,1 ,1,36,63,40.878,3.0,0.0,0.0,0.0,0.0,1,1
5155,1 ,1,15,20,7.718,-0.074,0.0,0.0,0.0,0.0,1,1
5175,1 ,1,19,32,9.1,1.1,0.0,0.0,0.0,0.0,1,1
5189,1 ,1,16,31,3.809,0.55,0.0,0.0,0.0,0.0,1,1
5197,1 ,1,16,31,30.085,2.9,0.0,0.0,0.0,0.0,1,1
5198,1 ,1,18,21,2.7,0.5,0.0,0.0,0.0,0.0,1,1
5217,1 ,1,43,71,6.6,1.3,0.0,0.0,0.0,0.0,1,1
5221,1 ,1,15,20,5.128,0.318,0.0,0.0,0.0,0.0,1,1
5271,1 ,1,39,62,0.1,0.0,0.0,0.0,0.0,0.0,1,1
5289,1 ,1,23,25,3.251,1.069,0.0,0.0,0.0,0.0,1,1
