I,NAME,BASKV,IDE,AREA,ZONE,OWNER,VM,VA,NVHI,NVLO,EVHI,EVLO
55083,CARMON 2,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55085,W_PEAC 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55088,DAISHO 2,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55089,DAISHO 1,13.8,2,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55090,MEIKLE 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55092,HARRY_ 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55093,ATH    2,25.2,1,16,31,1,1.0,0.0,1.1,0.9,1.1,0.9
55099,LNH    1,60.0,1,16,31,1,1.0,0.0,1.1,0.9,1.1,0.9
55100,RYCROF 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55101,ECOPOW 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55102,BOUCHE 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55103,THORNT 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55104,KSITUA 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55105,FRIEDE 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55110,T7L18  1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55111,HACKBE 2,230.0,1,43,71,1,1.0,0.0,1.1,0.9,1.1,0.9
55113,BAUER  1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55114,CARBEL 1,69.0,1,11,14,1,1.0,0.0,1.1,0.9,1.1,0.9
55118,POPLAR 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55119,GOODFA 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55120,LOWELA 2,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55121,CRYSTL 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55123,SADHL_ 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55124,SADDLE 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55125,CNRL_8 1,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55126,FLYING 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55128,HARMAT 2,13.8,2,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55132,WAP_JC 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55134,ELMWOR 2,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55135,WAPITI 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55137,AWTAP  1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55138,BEARCK 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55139,ALBRIG 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55141,PROC_G 2,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55142,BEARCK 4,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55143,BIG_MT 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55144,DOME_C 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55145,BRIDGE 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55146,PROC_G 1,13.8,2,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55147,HRMILN 4,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55148,HRMILN 1,15.0,2,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55149,KAKWA_ 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55150,DONNEL 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55153,TRIANG 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55154,NFP1   1,13.8,2,33,41,1,1.0,0.0,1.1,0.9,1.1,0.9
55155,VALLEY 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55160,SOUTH_ 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55163,L_SMOK 2,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55164,L_SMOK 1,138.0,2,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55165,STURGE 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55170,SIMONE 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55171,STURG_ 1,13.8,2,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55172,STURG_ 2,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55173,TAP_CL 3,69.0,1,19,32,1,1.0,0.0,1.1,0.9,1.1,0.9
55174,TXS    1,115.0,1,13,18,1,1.0,0.0,1.1,0.9,1.1,0.9
55175,FOXCRK 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55180,GOOSE_ 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55186,LNSG   2,12.5,1,35,42,1,1.0,0.0,1.1,0.9,1.1,0.9
55191,CHEM_W 3,230.0,1,31,49,1,1.0,0.0,1.1,0.9,1.1,0.9
55196,PRINGL 3,12.47,1,19,32,1,1.0,0.0,1.1,0.9,1.1,0.9
55199,ROSEBU 1,69.0,1,27,33,1,1.0,0.0,1.1,0.9,1.1,0.9
55200,RUTHLA 1,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55201,RUTHLA 2,69.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55202,RUTHLA 7,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55203,RUTHLA 3,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55204,DO5    2,69.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55205,DO5    1,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55206,AURORA 2,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55207,AURORA 1,69.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55208,MILLEN 1,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55210,SYNCRU 4,69.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55211,MILLEN 2,69.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55216,BORA   3,345.0,1,35,42,1,1.0,0.0,1.1,0.9,1.1,0.9
55217,STEEPB 1,69.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55222,PARS_C 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55224,HANGST 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55225,29EDD2 7,25.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55226,WABASC 1,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55227,CROWLA 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55228,MITSUE 2,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55229,MITSUE 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55230,AEC_MI 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55233,UE1    2,69.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55234,OTAUWA 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55236,MUSKEG 1,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55237,MLK    1,115.0,1,32,40,1,1.0,0.0,1.1,0.9,1.1,0.9
55238,MCA_BC 2,16.0,1,16,31,1,1.0,0.0,1.1,0.9,1.1,0.9
55241,LONGLK 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55242,KINOSI 2,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55243,EDITH_ 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55245,KINOSI 3,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55249,WHEATR 4,34.5,1,31,58,1,1.0,0.0,1.1,0.9,1.1,0.9
55251,GARDEN 2,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55260,LOUISE 2,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55261,LOUISE 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55262,CNRL_8 3,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55263,JOSLYN 1,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55264,CNRL_8 1,34.5,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55266,SARAH_ 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55267,R PRK  1,46.0,1,39,62,1,1.0,0.0,1.1,0.9,1.1,0.9
55271,MORSE_ 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55272,FIELDG 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55273,BTR_BC 2,132.0,1,16,31,1,1.0,0.0,1.1,0.9,1.1,0.9
55274,MACKAY 1,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55275,VRGINI 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55276,GR_STK 1,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55277,BLACKF 1,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55280,BRINTN 1,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55282,WILOWL 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55285,NIPISI 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55289,JACKPI 1,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55290,HORSE_ 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55292,MEADOW 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55295,BRDVIE 8,34.5,1,11,14,1,1.0,0.0,1.1,0.9,1.1,0.9
55297,29EDD7 4,13.8,2,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55300,WOLF_L 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55301,FOSTER 2,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55302,PRIMRO 2,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55303,MAHIHK 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55304,MAHIHK 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55305,TXL    1,66.0,1,16,31,1,1.0,0.0,1.1,0.9,1.1,0.9
55308,MIRA L 6,24.9,1,36,79,1,1.0,0.0,1.1,0.9,1.1,0.9
55309,BOURQU 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55310,LEMING 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55312,MARG_L 4,240.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55313,MARG_L 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
55314,WRT    3,115.0,1,32,40,1,1.0,0.0,1.1,0.9,1.1,0.9
55315,LACORE 1,138.0,1,1,2,1,1.0,0.0,1.1,0.9,1.1,0.9
