I,J,CKT,R,X,B,RATEA,RATEB,RATEC,GI,BI,GJ,BJ,ST,MET,LEN,O1,F1,O2,F2,O3,F3,O4,F4
174564,54104,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174565,54259,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174566,54112,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174567,54630,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174568,54630,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174569,54630,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174570,54630,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174571,54630,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174572,54630,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174573,56343,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174574,58343,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174575,54272,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174576,54272,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174577,55433,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174578,54275,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174579,54483,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174580,55383,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174581,54331,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174582,54430,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174583,55085,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174584,55085,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174585,54417,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174586,54417,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174587,59080,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174588,55080,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174589,54787,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174590,98702,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174591,55348,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174592,98590,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174593,98590,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174594,54746,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174595,54746,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174596,58543,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174597,54306,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174598,54306,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
