I,ID,STATUS,GL,BL
174706,1 ,1,0.0,-2.22
174707,1 ,1,0.0,-2.22
174708,1 ,1,0.0,27.2
174709,1 ,1,0.0,50.0
174710,1 ,1,0.0,50.0
174711,1 ,1,0.0,71.0
174712,1 ,1,0.0,71.0
174713,1 ,1,0.0,5.4
174714,1 ,1,0.0,27.0
174715,1 ,1,0.0,25.0
174716,1 ,1,0.0,27.0
174717,1 ,1,0.0,27.0
174718,1 ,1,0.0,50.0
174719,1 ,1,0.0,50.0
174720,1 ,1,0.0,50.0
174721,1 ,1,0.0,54.0
174722,1 ,1,0.0,41.33
174723,1 ,1,0.0,41.33
174724,1 ,1,0.0,1.81
174725,1 ,1,0.0,41.33
174726,1 ,1,0.0,41.33
174727,1 ,1,0.0,7.0
174728,1 ,1,0.0,13.77
174729,1 ,1,0.0,54.0
174730,1 ,1,0.0,7.5
174731,1 ,1,0.0,13.5
174732,1 ,1,0.0,13.8
174733,1 ,1,0.0,13.8
174734,1 ,1,0.0,5.0
174735,1 ,1,0.0,5.0
174736,1 ,1,0.0,5.0
174737,1 ,1,0.0,5.0
174738,1 ,1,0.0,44.9
174739,1 ,1,0.0,27.02
174740,1 ,1,0.0,23.0
174741,1 ,1,0.0,27.0
174742,1 ,1,0.0,-21.0
174743,1 ,1,0.0,-21.0
174744,1 ,1,0.0,-21.0
174745,1 ,1,0.0,-21.0
174746,1 ,1,0.0,-20.0
174747,1 ,1,0.0,110.0
174748,1 ,1,0.0,103.0
174749,1 ,1,0.0,-90.0
174750,1 ,1,0.0,110.0
174751,1 ,1,0.0,110.0
174752,1 ,1,0.0,103.0
174753,1 ,1,0.0,110.0
174754,1 ,1,0.0,2.5
174755,1 ,1,0.0,2.5
174756,1 ,1,0.0,2.5
174757,1 ,1,0.0,2.5
174758,1 ,1,0.0,20.3
174759,1 ,1,0.0,23.0
174760,1 ,1,0.0,18.1
174761,1 ,1,0.0,1.8
174762,1 ,1,0.0,13.77
174763,1 ,1,0.0,13.77
174764,1 ,1,0.0,0.8
174765,1 ,1,0.0,0.8
174766,1 ,1,0.0,-10.0
174767,1 ,1,0.0,-0.03
174768,1 ,1,0.0,-0.03
174769,1 ,1,0.0,-0.03
174770,1 ,1,0.0,-0.03
174771,1 ,1,0.0,-30.0
174772,1 ,1,0.0,9.1
174773,1 ,1,0.0,1.67
174774,1 ,1,0.0,134.4
174775,1 ,1,0.0,134.4
174776,1 ,1,0.0,82.0
174777,1 ,1,0.0,82.0
174778,1 ,1,0.0,105.3
174779,1 ,1,0.0,50.0
174780,1 ,1,0.0,3.0
174781,1 ,1,0.0,3.0
174782,1 ,1,0.0,3.0
