I,ID,PG,QG,QT,QB,VS,IREG,MBASE,ZR,ZX,RT,XT,GTAP,STAT,RMPCT,PT,PB,O1,F1,O2,F2,O3,F3,O4,F4,WMOD,WPF
54197,1 ,6.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,32.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
54381,1 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,5.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
56885,1 ,65.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,93.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
58185,1 ,61.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,90.4,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
55734,1 ,9.1,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,18.2,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
55487,1 ,330.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,416.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
180247,1 ,330.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,428.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
58370,1 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,3.2,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
56370,1 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,28.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
58370,2 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,3.2,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
57858,1 ,10.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,36.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
56858,1 ,5.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,36.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
54190,1 ,28.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,62.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
54174,1 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,48.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
58235,1 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,7.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
56218,1 ,36.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,64.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
57218,1 ,7.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,65.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
58218,1 ,27.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,42.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
54450,1 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,7.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
180243,1 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,52.7,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
55171,1 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,52.7,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
58240,1 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,9999.0,-9999.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
56338,1 ,34.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,41.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
103336,1 ,39.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,42.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
180903,1 ,24.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,24.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
57336,1 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,9999.0,-9999.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
58338,1 ,25.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,27.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
180438,1 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,50.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
180280,1 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,50.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
54345,1 ,373.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,438.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
54338,1 ,165.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,310.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
54342,1 ,379.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,437.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
54130,1 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,395.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
54129,1 ,186.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,308.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
54350,1 ,360.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,425.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
58210,1 ,22.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,32.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
59210,1 ,36.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,63.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
96361,1 ,7.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,32.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
56210,1 ,36.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,63.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
57210,1 ,36.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,63.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
97573,1 ,62.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,74.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
56634,1 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,46.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
57534,1 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,47.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
56272,1 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,8.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
58670,1 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,13.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
180241,1 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,7.43,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
59233,1 ,33.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,94.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
58233,1 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,33.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
181093,1 ,9.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,20.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
54787,1 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,14.4,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
54787,2 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,16.6,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
98702,1 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,16.6,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
54787,3 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,12.8,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
98702,2 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,14.4,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
98702,3 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,14.4,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
54408,1 ,26.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,36.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
180429,1 ,40.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,46.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
59251,1 ,32.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,49.5,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
58251,1 ,32.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,49.5,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
172909,1 ,125.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,321.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
147846,1 ,125.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,185.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
133403,1 ,125.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,185.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
99074,1 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,92.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
99074,2 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,92.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
99075,1 ,0.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,125.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
46666,1 ,10.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,154.0,10.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
55708,1 ,132.2,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,240.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
153136,1 ,70.9,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,105.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
38140,1 ,13.75,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,27.5,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
38140,2 ,10.0,0.0,9999.0,-9999.0,1.0,0,100.0,0.0,1.0,0.0,0.0,1.0,1,100.0,20.0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,1.0
